[INFO] [1787952641.228214431] [bev_imu]: MPU-9250 WHO_AM_I=0x71 on /dev/spidev1.0, INT gpio-298 (falling edge, /dev/gpiochip1 offset 42), CLOCK_MONOTONIC
[INFO] [1787957457.933291274] [bev_imu]: 964000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957467.925227014] [bev_imu]: 966000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957477.917249566] [bev_imu]: 968000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957487.909167293] [bev_imu]: 970000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957497.901070006] [bev_imu]: 972000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957507.893040358] [bev_imu]: 974000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957517.884994245] [bev_imu]: 976000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957527.876939979] [bev_imu]: 978000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957537.868866449] [bev_imu]: 980000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957547.860801234] [bev_imu]: 982000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957557.852774342] [bev_imu]: 984000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957567.844633325] [bev_imu]: 986000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957577.836574847] [bev_imu]: 988000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
[INFO] [1787957587.828537330] [bev_imu]: 990000 samples, 35 dropped (edge seen late), 6 late reads, 0 clipped
